co_seq_unidade_saude,co_seq_distrito,co_seq_tp_logradouro,co_seq_municipio,no_unidade_saude,co_ref_unidade,nu_cnes,no_logradouro,nu_logradouro,cmp_nr_logradouro,no_bairro,nu_cep,nu_telefone,nu_fax,ds_email,dt_hr_ultima_alteracao,aut_ultima_alteracao,dt_hr_registro,aut_registro,nu_telefone_auxiliar
37,,113,477,U.B.S. BELA VISTA,00639-01,2663821,1 DE JANEIRO,S/N,,CENTRO,65535000,(  ),(  ),,20220308081947,yago,20170908095401,Implantação,(  )
46,,113,486,U.B.S. CEL. ANTONIO GUILHERME,00476-01,2309815,CEL.A .MANOEL,S/N,,CENTRO,65520000,(  ),(  ),,20220407083238,yago,20170908095401,Implantação,(  )
34,,113,476,U.B.S. VALTER COSTA,00504-01,7013620,ANTONIO DIAS,28,,CENTRO,     ,(  ),(  ),,20220324123710,yago,20170908095401,Implantação,(  )
35,,113,476,U.B.S. MURICI,00695-01,7746830,DOMINGOS CARVALHO ,S/N,,MURICI,     ,(  ),(  ),,20220324123730,yago,20170908095401,Implantação,(  )
13,,113,460,SEMUS DE AMARANTE,00452-01,6969836,DEPUTADO LARROQUE,S/N,,CENTRO,65923000,(  ),(  ),,20220525072416,yago,20170908095401,Implantação,(  )
5,,113,453,U.B.S. DR.N. GUTERRES,00168-01,2452774,SÃO SEBASTIAO,259,,CENTRO,     ,(  ),(  ),,20221004075033,yago,20170908095401,Implantação,(  )
3,,113,451,U.B.S. RAIMUNILDES DA SILVA REIS,00530-01,6922988,PRACA DA COMUNIDADE,56,,CENTRO,65505000,(99)988018818,(  ),DELANY_SO@HOTMAIL.COM,20230802082527,yago,20170908095401,Implantação,(  )
36,,113,478,U.B.S. CENTRO DE SAÚDE ,00580-01,,COMERCIO- LADO B,1,RES. ELAINE DO LAGO,CENTRO,65335000,(98)996162094,(  ),FONTENELENATHALIA@GMAIL.COM,20230802085351,thalyta,20170908095401,Implantação,(  )
12,,113,459,U.B.S. IVETE LEMOS,00678-01,2309548,TANCREDO NEVES,S/N,,CENTRO,65293000,(98)984723282,(  ),,20240509153038,yago,20170908095401,Implantação,(  )
15,,113,462,CT.DE S.ISAAC FRANCISCO MONTELES,00617-01,3453081,SENADOR JOSE SARNEY ,250,,TORRE,     ,(  ),(  ),,20231117101159,thalyta,20170908095401,Implantação,(  )
28,,113,451,BALSAS-SOC.BENF.HOSP,00008-01,2450143,DR ROOSEVELT KURY,80,,CENTRO,     ,(  ),(  ),,20240708163616,marcia,20170908095401,Implantação,(  )
54,,113,490,SEC M DE BURITICUPU,00020-01,2450429,SANTA LUZIA ,S/N,,TERRA BEL,,,,,20170908095401,Implantação,20170908095401,Implantação,
72,,113,500,SEC. M. S. CARUTAPERA,00396-01,2463784,PADRE MARIO BACCA,S/N,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
83,,113,507,CIDELANDIA-HOSP.MUNC,00603-01,2726610,XV DE NOVEMBRO ,S/N,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
86,,113,509,SEMUS COELHO NETO,00674-01,6355870,DR LUIZ RAIMUNDO,S/N,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
95,,113,510,HOSP.REG.CARLOS MACI,00581-01,2726645,RUI BARBOSA ,S/N,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
78,,113,505,U.B.S. ANNE RAIMUNDA,00454-01,2311127,AV. JUSCELINO KUBITSCHEK,S/N,,CENTRO,65299000,(98)984626461,(  ),LEONARDOBATISTAMARTINEZ123@GMAIL.COM,20190125123522,hiago,20170908095401,Implantação,(  )
74,,113,501,MAT. CARMOS.COUTINHO,00662-01,2453665,DR WALTER BRITO ,S/N,,CAMPO DE BELEM,65609070,(99)981140605,(  ),MSSENFERMEIRA@GMAIL.COM,20190131133903,hiago,20170908095401,Implantação,(99)981961616
69,,0,498,HOSP. SAO JOSE,00626-01,2726637,AV. LINDOLFO FLORIO,S/N,,VISTA ALEGRE,65735000,(99)992154504,(  ),RIVA3000@GMAIL.COM,20190221085928,hiago,20170908095401,Implantação,(99)992084409
70,,113,499,HOSP.MUNC. DE CAROL,00010-01,2449439,BENEDITO LEITE,57,,CENTRO,     ,(99)982368501,(  ),ENFERMEIRASUZANE@HOTMAIL.COM,20190314115158,paulo,20170908095401,Implantação,(  )
68,,113,497,HOSP. STA. FILOMENA,00207-01,2307510,PAULO RODRIGUES,S/N,,CENTRO,65465000,(  ),(  ),,20190325124339,hiago,20170908095401,Implantação,(  )
57,,113,492,CENTRO DE S. ACACIO C. PINHO,00668-01,2462893,GETULIO VARGAS ,S/N,,CENTRO,65165000,(99)996059534,(  ),,20190329105008,paulo,20170908095401,Implantação,(  )
56,,113,491,CENTRO DE SAÚDE DE BURITIRANA,00722-01,2464357,DOM PEDRO II,S/N,RES.MARIA DE F GOMES,CENTRO,65935000,(99)999773292,(  ),FATIMA-MAG@HOTMAIL.COM,20190612155002,carliane,20170908095401,Implantação,(99)984010674
64,,113,495,SECRETARIA MUNICIPAL DE SAUDE,00634-01,7788371,BOM JESUS ,S/N,RES.BRUNA SILVA,CENTRO,65968000,(99)984605658,(  ),SAUDECAMPESTRE@GMAIL.COM,20190612160822,carliane,20170908095401,Implantação,(  )
97,,113,511,SEC. MUNIC. SAUDE,00694-01,6672892,GRANDE,S/N,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
98,,113,512,APAE-COROATA,00133-01,7984197,GONCALVES DIAS,655,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
66,,113,496,HOSP. MUN. SOFIA J CRUZ,00101-01,2603896,LUIS DOMINGUES,S/N,,CENTRO,     ,(  ),(  ),,20210910145913,yago,20170908095401,Implantação,(  )
52,,113,489,SEMUS BURITI BRAVO,00490-01,,LOURDITA RAPOSO ,S/N,,CENTRO,65685000,(  ),(  ),,20211228084652,yago,20170908095401,Implantação,(  )
96,,113,511,U.B.S. JOSE ALCOFORADO DE ALBUQUERQUE,00453-01,2603926,DO GRUPO,S/N,,CENTRO,     ,(  ),(  ),,20221004081534,yago,20170908095401,Implantação,(  )
67,,113,496,U.B.S. CANDIDO MENDES,00309-01,,LUIS DOMINGUES,71,,CENTRO COMERCIAL,65280000,(98)984667922,(  ),ALDAMARIA@HOTMAIL.COM.BR,20210910145831,yago,20170908095401,Implantação,(98)984274547
65,,113,496,HOSP. FLORIANO C MATOS,00577-01,7510055,COELHO NETO,S/N,,CENTRO,     ,(  ),(  ),,20210910145934,yago,20170908095401,Implantação,(  )
77,,113,504,U.B.S. JOSE TORRES EVANGELISTA,00523-01,2464543,DO COMERCIO,S/N,,CENTRO,65288000,(  ),(  ),,20211215095554,yago,20170908095401,Implantação,(  )
61,,113,494,U.B.S. GAMELEIRA,00702-01,2461749,IVAR SALDANHA,S/N,,CENTRO,65210000,(  ),(  ),,20211221085342,yago,20170908095401,Implantação,(  )
53,,124,489,U.B.S. ACRISIO PINTO,00196-01,3000079,PICARRA,S/N,RES. FERNANDA SILVA,MULTIRAO,65685000,(99)988100948,(  ),,20211228084523,yago,20170908095401,Implantação,(99)999537592
51,,113,489,U.B.S. ANAXAGORAS VICENTE AIRES,00313-01,2457288,5 DE JULHO,5,,CENTRO,     ,(  ),(  ),,20211228084557,yago,20170908095401,Implantação,(  )
50,,113,489,U.B.S. SANTA MARIA,00696-01,7274564,R. 01 ,S/N,,CENTRO,65685000,(  ),(  ),,20211228084732,yago,20170908095401,Implantação,(  )
79,,36,506,C.S. BENU MENDES,00615-01,2310325,RDº OLIVEIRA,155,,AREAL,65500000,(98)991142450,(  ),NOEMESOUSA2035@GMAIL.COM,20220111122549,yago,20170908095401,Implantação,(  )
81,,113,506,U.B.S. BAIRRO CRUZ,00740-01,6533361,CORRENTE,S/N,,CENTRO,     ,(  ),(  ),,20220111122611,yago,20170908095401,Implantação,(  )
80,,113,506,U.B.S. FONTE DO MATO,00741-01,2310252,MATO,S/N,,FONTE DO MATO,65500000,(98)981653614,(  ),FERNANDA_RMACHADO@HOTMAIL.COM,20220111122625,yago,20170908095401,Implantação,(  )
82,,113,506,U.B.S. NOVO CASTELO,00743-01,3255212,TANCREDO NEVES,S/N,,CENTRO,     ,(  ),(  ),,20220111122644,yago,20170908095401,Implantação,(  )
85,,113,508,HOSP. GERAL DR° MARCOLINO JR,00358-01,2449641,RIO DE JANEIRO,77,,SÃO FRANCISCO,65400000,(99)988545716,(  ),LULOBAO2010@HOTMAIL.COM,20220111140425,yago,20170908095401,Implantação,(  )
60,,113,493,HOSP. DR. FRANCISCO GIUSTI,00568-01,2646447,MANOEL MENDONCA,S/N,,CENTRO,     ,(  ),(  ),,20220214111656,yago,20170908095401,Implantação,(  )
58,,113,493,U.B.S. LUIS AZEVEDO FONSECA,00579-01,3326853,MANOEL MENDONCA,180,,CENTRO,     ,(  ),(  ),,20220214111730,yago,20170908095401,Implantação,(  )
59,,113,493,U.B.S. ODORICO A. MATOS,00658-01,5111889,SÃO LOURENÇO,S/N,,CENTRO,     ,(  ),(  ),,20220214111755,yago,20170908095401,Implantação,(  )
89,,113,509,U.B.S. SAO FRANCISCO,00545-01,2306719,FRANCISCO ANTONIO DE SOUSA,S/N,,CENTRO,65620000,(98)982746044,(  ),IRANILSAMOURA@HOTMAIL.COM,20220317094701,yago,20170908095401,Implantação,(  )
93,,113,509,U.B.S. FAMILIA QUIABOS,00572-01,3028437,JUSTINO DA S BASTOS,S/N,,QUIABOS,65620000,(  ),(  ),,20220317094719,yago,20170908095401,Implantação,(  )
90,,113,509,U.B.S. SAO JUDAS TADEU,00673-01,,DR LUIS RAIMUNDO,S/N,,CENTRO,     ,(  ),(  ),,20220317094758,yago,20170908095401,Implantação,(  )
92,,113,509,U.B.S. DANIEL GUANABARA,00680-01,2306700,VIRTUDES,S/N,,CENTRO,     ,(  ),(  ),,20220317094818,yago,20170908095401,Implantação,(  )
91,,113,509,U.B.S. ANTONIO NONATO SAMPAIO,00705-01,2306735,SANTA MARIA,S/N,,CENTRO,     ,(  ),(  ),,20220317094940,yago,20170908095401,Implantação,(  )
88,,113,509,U.B.S. SANTO ANTONIO,00686-01,,DEMOCRACI,S/N,,CENTRO,65620000,(  ),(  ),,20220317094921,yago,20170908095401,Implantação,(  )
63,,113,495,U.B.S. MAE ZEFINHA,00585-01,7510810,GOIAS,S/N,,TORRE,65968000,(  ),(  ),,20220330135250,yago,20170908095401,Implantação,(  )
99,,113,512,SEC. MUN. DE SAUDE,00729-01,5916232,JOSE SARNEY,159,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
102,,113,515,HOSP.HERMES MONTEIRO,00715-01,2702746,DUQUE DE CAXIAS,S/N,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
103,,113,516,SMS DUQUE BACELAR,00591-01,6884369,ZUZA MACHADO ,112,,BEIRA RIO,,,,,20170908095401,Implantação,20170908095401,Implantação,
108,,113,518,HOSP.MUNC. ESTREITO,00486-01,2310821,TANCREDO NEVES,1411,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
117,,113,522,UNID. MISTA M JESUS,00281-01,7475799,ARISTEU NOGUEIRA,S/N,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
121,,113,526,SEC.M.GOV.ACHER,00421-01,2462036,PRES CASTELO BRANCO ,290,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
123,,113,527,SEC.MUNC. DE SAUDE,00584-01,2464659,URBANO ROCHA,550,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
124,,113,528,C. S. PEDRO C SILVA,00448-01,3604764,11 DE MARCO,90,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
125,,113,528,HOSPITAL E. MACHADO,00375-01,2461153,11 DE MARCO,90,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
134,,113,533,HOSP SÃO FCO. ASSIS,00197-01,6957501 ,DR ROBERTO COLOMBO,5,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
137,,113,536,SECRET.M.SAUDE ICATU,00698-01,7512104,EURICO GASPAR DUTRA,S/N,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
142,,113,540,SEC. M.S.DE ITAIPAVA,00516-01,5519160,GUAJAJARA ,S/N,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
100,,113,513,U.B.S. FLAVIO SILVA,00156-01,2454610,GETULIO VARGAS ,20,,CENTRO,65268000,(98)984865448,(  ),GRIFFESURFFESPORT@HOTMAIL.COM,20190125132814,hiago,20170908095401,Implantação,(  )
109,,113,518,U.B.S. ALTO BONITO,00624-01,2310864,NUNES FREIRE,S/N,,CENTRO,65975000,(99)981295899,(  ),YSABORGES83@HOTMAIL.COM,20190221083858,paulo,20170908095401,Implantação,(  )
107,,113,518,CENT. MUN. DE S. ESTREITO,00415-01,2310880,JOAO CASTELO,S/N,,CENTRO,     ,(99)981544322,(  ),ENF.JOSELIACHAVES@GMAIL.COM,20190221083659,paulo,20170908095401,Implantação,(  )
112,,113,518,U.B.S. VILA VALEC,00709-01,5284422,MARIA EDUARDA,S/N,,CENTRO,65975000,(99)981029788,(  ),LORENA.AL_LACERDA@HOTMAIL.COM,20190221084614,paulo,20170908095401,Implantação,(  )
110,,113,518,U.B.S SÃO JOÃO,00630-01,7848218,ALDAIR,S/N,,CENTRO,65975000,(99)991458479,(  ),LUANAMILHOMEM@HOTMAIL.COM,20190221091252,paulo,20170908095401,Implantação,(  )
105,,113,518,U. BAS.DE S.PLANALTO III,00621-01,2310902,U,S/N,,PLANALTO III,65975000,(99)81253959,(  ),KAMICAARAUJO@HOTMAIL.COM,20190221091450,paulo,20170908095401,Implantação,(  )
111,,113,518,UBS JORGE ANDRADE,00687-01,2645521,CEARA ,15,,PLANALTO ,65975000,(99)981248376,(  ),TECA._@HOTMAIL.COM,20190221093020,paulo,20170908095401,Implantação,(  )
139,,113,538,U.B.S. SÃO FRANCISCO,00425-01,6226302,SÃO FRANCISCO,S/N,,CENTRO,65720000,(  ),(  ),,20190221093754,hiago,20170908095401,Implantação,(  )
104,,113,517,HOSP.SANTA MARTA,00676-01,2455625,07 DE SETEMBRO,177,,CENTRO,65750000,(  ),(  ),,20190221105344,hiago,20170908095401,Implantação,(  )
135,,113,534,H.MUNICIPAL MARIA ALICE COUTINHO,00618-01,4007514,JOSE BRUNO DE BARROS,S/N,,CENTRO,65255000,(  ),(  ),,20190325083510,carliane,20170908095401,Implantação,(  )
113,,113,519,UBS. LUSO ROCHA,00418-01,2465086,TOCANTINS,143,RES.ERCILYDA COSTA,CENTRO,65995000,(99)981166991,(  ),ELYDARIRIBEIRO@HOTMAIL.COM,20190612164752,carliane,20170908095401,Implantação,(  )
143,,36,540,HOSP. MUN. RAIMUNDO R. CIQUEIRA,00483-01,7354606,"AV. TIMBIRAS, ",S/N,,CENTRO,65948000,(99)984229508,(  ),,20190619084350,hiago,20170908095401,Implantação,(99)984225818
145,,113,542,SEC.MUNIC. DE SAUDE,00648-01,7647921,RIO BRANCO,S/N,,SÃO SEBASTIAO,,,,,20170908095401,Implantação,20170908095401,Implantação,
146,,113,543,UNID.B.S.B.A.DA SILV,00640-01,2464861,CAMPO,S/N,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
149,,113,546,CENTRO S. M. SARNEY,00473-01,2451379,MENDES PEREIRA,S/N,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
150,,113,547,C.MUN.DE S. JUNCO MA,00301-01,2613778,EPIFANIO RIBEIRO ,131,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
151,,113,547,SEC. M. DE JUNCO DO MA,00345-01,6661092,EPIFANIO RIBEIRO ,131,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
128,,113,531,C.S. GOVERNADOR NUNES FREIRE,00457-01,2457105,ALTO SAO JOSE,S/N,RES.FRANCISCA S LIMA,CENTRO,65284000,(98)984949582,(  ),JANEL8314@GMAIL.COM,20210610073255,yago,20170908095401,Implantação,(98)984943973
130,,113,531,U.B.S. VILA MARANHAO,00623-01,6209300,COLONE,180,RES.DEUSILENE CARVAL,VL. MARANHAO,65284000,(98)981604992,(  ),DEUSILENECARVALHO1964@GMAIL.COM,20210610073333,yago,20170908095401,Implantação,(  )
131,,113,531,SEC.M.S. GOV. FREIRE,00446-01,5367042,7 DE SETEMBRO,S/N,,CENTRO,     ,(  ),(  ),,20210610073406,yago,20170908095401,Implantação,(  )
132,,113,532,U.B.S. DE GRACA ARANHA,00342-01,2452898,SÃO FRANCISCO,S/N,,CENTRO,65785000,(  ),(  ),,20220307112023,yago,20170908095401,Implantação,(  )
138,,113,537,U.B.S. CLOVES LUIS SOARES,00434-01,2450682,CASTRO ALVES,S/N,,NOVO,65345000,(  ),(  ),,20220315141117,yago,20170908095401,Implantação,(  )
116,,113,521,U.B.S. OTAVIO LIMA DE ARRUDA,00414-01,2460580,SILVA JARDIM,S/N,,VILA VIANA,65943000,(  ),(  ),,20220425080506,yago,20170908095401,Implantação,(  )
118,,113,523,HOSP. MUN. ANTONIO MENDES JARDIM,00376-01,2529777,07 DE SETEMBRO ,125,,CENTRO,65695000,(  ),(  ),,20220627083428,yago,20170908095401,Implantação,(  )
127,,113,530,U.B.S. DEP. CESAR BANDEIRA ,00472-01,2645254,JK,BR 316,,CENTRO,65363000,(  ),(  ),,20220624123540,yago,20170908095401,Implantação,(  )
101,,113,514,U.B.S. DAVINOPOLIS,00681-01,2559523,JOAO PESSOA,285,,CENTRO,65927000,(  ),(  ),,20221019111021,yago,20170908095401,Implantação,(  )
114,,113,520,U.B.S. F.LEONCIO,00433-01,6595766,ALTINO RESPLANDES,420,,CENTRO,65964000,(  ),(  ),,20230208080200,yago,20170908095401,Implantação,(  )
136,,113,535,HOSP. ELDA R. FONSECA,00297-01,2462095,CAMPO,S/N,,CENTRO,65180000,(  ),(  ),,20230523092313,yago,20170908095401,Implantação,(  )
119,,113,524,U.B.S. APRIGIO OLIVEIRA SILVA,00458-01,2463806,BENEDITO JORGE,S/N,,CENTRO,65283000,(  ),(  ),,20240318085922,yago,20170908095401,Implantação,(  )
122,,113,526,UND BASICA DE SAUDE DE GOV. ARCHER,00221-01,2461900,ANTONIO FILHO,S/N,,CENTRO,     ,(  ),(  ),,20241028141802,thalyta,20170908095401,Implantação,(  )
159,,113,548,SEMUS-Lago da Pedra,00398-01,6190529,HUMBERTO DE CAMPOS ,S/N,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
165,,113,550,SEC. MNC. DE L.VERDE,00677-01,6412300,KENNEDY,S/N,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
167,,113,553,UMS LAGOA GRANDE,00689-01,7070497,JOAO GOMES CARLOTA,S/N,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
170,,113,556,SEC MUNIC DE SAUDE,00548-01,7195001,BARAO DO RIO BRANCO,S/N,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
171,,113,556,UM LUIZINHA PIRES,00632-01,2646633,BARAO DO RIO BRANCO,S/N,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
173,,113,558,HOSP.M.M.COSTA LIMA,00465-01,2309513,MA KM 01,S/N,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
182,,113,562,HOSP TALES RIBEIRO,00029-01,6566006,RAIMUNDO VIEIRA ALMEIDA,S/N,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
184,,113,563,H.M.DR AFONSO MATOS,00362-01,2461005,MAJOR HERACLITO,675,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
185,,113,564,MATOES-CENTRO S. STA,00085-01,2450623,MUNDICO MORAES,859,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
190,,113,569,C S RAIMUNDO MEDEIROS,00704-01,7637454,MARIA FIRMINHA,S/N,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
191,,113,570,HOSP NEWTON SERRA,00505-01,7321252,PRESIDENTE KENNEDY,37,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
178,,113,559,U.B.S. CENTRO DO JACY,00707-01,2455579,RUA DO EVANGELIO,S/N,,CENTRO,65284000,(98)984714959,(  ),,20190125125131,hiago,20170908095401,Implantação,(98)984530777
177,,113,559,SEMUS-MARACACUME,00716-01,,NOVA BETEL ,S/N,,CENTRO,     ,(  ),(  ),,20190125125429,hiago,20170908095401,Implantação,(  )
163,,113,549,HOSP. MUN. ALCY ALVES ARRUDA,00521-01,2307707,SÃO PEDRO ,S/N,,CENTRO,65710000,(  ),(  ),,20190221093337,hiago,20170908095401,Implantação,(  )
187,,113,566,HOSP. MUN. DOMINGOS LOPES,00543-01,2311356,CEL FRANCISCO MACATRAO,274,,CENTRO,65545000,(98)984822495,(  ),,20190221081827,hiago,20170908095401,Implantação,(  )
164,,113,552,C.S.PEDRO PAULO CORTEZ,00563-01,2307227,FREI JOSE,S/N,,CENTRO,65712000,(  ),(  ),,20190221093557,hiago,20170908095401,Implantação,(  )
147,,113,544,C.S.JENIPAPO DOS  VIEIRAS,00518-01,2311364,R. ANTONIO MILHOMEM,S/N,,CENTRO,65962000,(  ),(  ),,20190320072439,hiago,20170908095401,Implantação,(  )
188,,113,567,HOSP. MUNIC. MIRADOR,00307-01,6805752,AV. CENTRAL,S/N,,MURICOCA,65850000,(  ),(  ),,20190521085558,hiago,20170908095401,Implantação,(  )
148,,113,545,HOSP. MUN. J. LISBOA,00423-01,2457911, AV.IMPERATRIZ,1390,,CENTRO,65922000,(99)991034600,(  ),,20190619082340,hiago,20170908095401,Implantação,(99)1016825
